increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
5,5589,-9.08,-4.77,2.66,295.9,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
6,5589,-9.4,-6.33,1.02,336.23,Turgen,M/2,left,17,sheep,Late Bronze Age/Iron Age,TRUE,0.45,summer
1,CHP01,-9.63,-10.13,30.1,345.2,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
2,CHP01,-9.74,-10.76,27.3,7.83,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
3,CHP01,-9.83,-10.32,24.6,34.47,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
4,CHP01,-9.78,-9.52,21.9,61.12,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
5,CHP01,-9.63,-7.8,19.4,85.79,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
6,CHP01,-9.63,-4.92,16.7,112.43,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
7,CHP01,-9.95,-3.26,14.4,135.13,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
8,CHP01,-10.02,-1.13,11.9,159.8,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
9,CHP01,-10.06,-0.59,9.7,181.51,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
10,CHP01,-10.04,-0.56,7.2,206.18,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
11,CHP01,-9.63,-1.17,4.6,231.84,Chap,M/2,right,1,caprine,Final Bronze Age,FALSE,0.22,spring
1,CHP02,-7.15,-6.6,34.2,294.63,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
2,CHP02,-7,-7.93,31.5,318.88,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
3,CHP02,-7.1,-9.46,28.7,344.02,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
4,CHP02,-7.1,-10.36,25.9,4.17,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
5,CHP02,-7.51,-10.74,23,30.21,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
6,CHP02,-7.86,-10.23,20.5,52.66,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
7,CHP02,-8.26,-8.11,17.8,76.91,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
8,CHP02,-8.77,-6.42,15.1,101.15,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
9,CHP02,-9.33,-3.19,12.5,124.5,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
10,CHP02,-9.77,-1.49,10.1,146.05,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
11,CHP02,-9.74,-1.2,8.2,163.11,Chap,M/2,right,2,caprine,Final Bronze Age,FALSE,0.11,winter
1,CHP03,-8.54,-9.56,27.1,343.74,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
2,CHP03,-8.5,-9.4,24.1,25.19,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
3,CHP03,-8.98,-8.4,21.2,70.09,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
4,CHP03,-9.45,-6.03,18.4,113.45,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
5,CHP03,-9.96,-2.5,15.4,159.9,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
6,CHP03,-10.17,-1.75,13,197.06,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
7,CHP03,-9.55,-3.18,10,243.52,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
8,CHP03,-8.71,-5.66,7.4,283.78,Chap,M/3,right,3,caprine,Final Bronze Age,FALSE,0.55,summer
1,CHP04,-8.68,-3.32,31.3,319.87,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
2,CHP04,-8.18,-4.61,29,332.44,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
3,CHP04,-8.22,-5.95,26.7,345.01,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
4,CHP04,-8.02,-7.12,24.2,358.68,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
5,CHP04,-7.92,-8.31,21.7,7.34,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
6,CHP04,-8.02,-8.78,19,22.1,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
7,CHP04,-8.18,-8.78,16.7,34.67,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
8,CHP04,-8.57,-7.39,14.4,47.24,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
9,CHP04,-9,-5.46,12.2,59.26,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
10,CHP04,-9.38,-2.44,10.3,69.65,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
11,CHP04,-9.54,-0.37,8.1,81.67,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
12,CHP04,-9.58,0.88,6.2,92.06,Chap,M/2,right,4,caprine,Final Bronze Age,FALSE,0.8,fall
1,CHP05,-9.61,-7.16,21.4,137.21,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
2,CHP05,-10.13,-5.13,18.5,159.51,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
3,CHP05,-10.39,-3.2,15.8,180.28,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
4,CHP05,-10.27,-2.32,12.7,204.11,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
5,CHP05,-9.56,-3.45,9.8,226.42,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
6,CHP05,-9.06,-6.31,6.9,248.72,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
7,CHP05,-8.84,-9.96,4,271.02,Chap,M/3,left,5,caprine,Final Bronze Age,FALSE,0.29,spring
1,CHP06,-7.57,-5.55,37.1,282.61,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
2,CHP06,-7.67,-7.61,34.4,312.23,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
3,CHP06,-8,-8.63,32,338.56,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
4,CHP06,-8.11,-9.67,29.7,363.8,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
5,CHP06,-8.39,-9.73,27.2,26.22,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
6,CHP06,-8.83,-9.32,24.9,51.46,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
7,CHP06,-8.96,-7.34,22.5,77.79,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
