increment,specimen,d13C,d18O,measure
6,T020,-10.277,-9.192,22.34
7,T020,-10.286,-9.783,21.04
8,T020,-10.287,-9.622,19.81
9,T020,-10.561,-9.091,18.32
10,T020,-10.695,-8.247,17.14
11,T020,-10.976,-6.547,15.9
12,T020,-11.409,-5.158,14.44
13,T020,-11.744,-3.414,13.19
14,T020,-11.996,-1.414,11.7
15,T020,-12.383,-0.921,10.16
16,T020,-12.262,-0.97,8.59
17,T020,-11.979,-2.022,7.07
18,T020,-11.74,-3.131,5.7
19,T020,-11.304,-4.434,4.41
20,T020,-11.129,-5.913,3.08
21,T020,-10.768,-6.902,1.92
1,T085,-11.17,-2.53,27.24
2,T085,-10.94,-2.67,23.87
3,T085,-10.86,-2.85,20.31
4,T085,-10.37,-4.29,16.72
5,T085,-9.74,-6.37,12.98
6,T085,-9.48,-8.97,9.44
7,T085,-9.67,-10.96,6.28
8,T085,-10.03,-10.47,3.12
1,T033,-9.519,-12.136,39.91
2,T033,-9.589,-12.365,38.46
3,T033,-9.478,-12.765,37.18
4,T033,-9.587,-12.985,35.87
5,T033,-9.621,-12.905,34.43
6,T033,-9.752,-13.002,33.07
7,T033,-9.912,-12.383,31.45
8,T033,-10.089,-12.356,30.3
9,T033,-10.024,-11.206,28.89
10,T033,-10.29,-10.986,27.62
11,T033,-10.472,-9.771,26.29
12,T033,-10.343,-8.85,25.02
13,T033,-10.566,-8.775,23.74
14,T033,-10.626,-7.815,22.37
15,T033,-10.55,-6.796,20.98
16,T033,-10.477,-5.59,19.53
17,T033,-10.23,-4.755,18.15
18,T033,-10.125,-4.459,16.76
19,T033,-10.251,-4.823,15.4
20,T033,-9.878,-4.939,14.06
21,T033,-9.834,-5.838,12.8
22,T033,-9.718,-6.101,11.49
23,T033,-9.374,-6.374,10.26
24,T033,-9.1,-7.131,8.93
1,5571,-10.18,-11.7,24.49
2,5571,-10.16,-10.05,23.11
3,5571,-10.16,-9.15,20.72
4,5571,-10.15,-7.46,19.32
6,5571,-8.89,-7.13,10.53
7,5571,-8.76,-8.14,8.08
8,5571,-9.07,-9.45,6.86
9,5571,-9,-10.67,4.68
2,5572,-8.93,-14.87,30.69
4,5572,-8.95,-13.78,26.13
6,5572,-9.19,-11.14,22.71
8,5572,-9.54,-7.17,18.88
10,5572,-10.06,-5.12,15.29
12,5572,-10.28,-4.94,11.53
